uf,cidade,lat,lon
AL,SÃO SEBASTIÃO,-23.8027866,-45.4070527
AL,TANQUE D'ARCA,-9.5348175,-36.431458
AL,TAQUARANA,-9.64529,-36.492844
AL,TEOTÔNIO VILELA,-9.9062736,-36.3571341
AL,TRAIPU,-9.967583,-37.0015357
AL,UNIÃO DOS PALMARES,-9.1576807,-36.0342251
AL,VIÇOSA,-9.3728032,-36.2432636
AL,ÁGUA BRANCA,-9.2613606,-37.9361053
AM,ALVARÃES,-3.214786,-64.8143124
AM,AMATURÁ,-3.3640509,-68.1994689
AM,ANAMÃ,-3.5797356,-61.4049996
AM,ANORI,-3.7435254,-61.6605203
AM,APUÍ,-7.1940195,-59.8830192
AM,ATALAIA DO NORTE,-4.3658547,-70.1908742
AM,AUTAZES,-3.5833283,-59.1301518
AM,BARCELOS,-0.9729214,-62.925635
AM,BARREIRINHA,-2.798863,-57.067897
AM,BENJAMIN CONSTANT,-4.3782748,-70.0290603
AM,BERURI,-3.9007135,-61.3717319
AM,BOA VISTA DO RAMOS,-2.9716927,-57.5869819
AM,BOCA DO ACRE,-8.7553487,-67.3930873
AM,BORBA,-4.3934778,-59.5947721
AM,CAAPIRANGA,-3.3188884,-61.2096404
AM,CANUTAMA,-6.5330019,-64.3834966
AM,CARAUARI,-4.8766426,-66.8961433
AM,CAREIRO,-3.8185277,-60.3616505
AM,CAREIRO DA VÁRZEA,-3.197024,-59.8259104
AM,COARI,-4.0885957,-63.1431166
AM,CODAJÁS,-3.8413202,-62.0603444
AM,EIRUNEPÉ,-6.6567654,-69.866161
AM,ENVIRA,-7.437889,-70.028143
AM,FONTE BOA,-2.55,-66.91321428571428
AM,GUAJARÁ,-7.5455927,-72.5832769
AM,HUMAITÁ,-7.5099404,-63.0248674
AM,IPIXUNA,-7.047909,-71.693426
AM,IRANDUBA,-3.2758203,-60.1867429
AM,ITACOATIARA,-3.1477898,-58.4461041
AM,ITAMARATI,-6.4385189,-68.2437385
AM,ITAPIRANGA,-2.7461205,-58.025377
AM,JAPURÁ,-1.8808468,-66.9967657
AM,JURUÁ,-3.4746666,-66.0622335
AM,JUTAÍ,-2.7471478,-66.7721255
AM,LÁBREA,-7.2613683,-64.7924505
AM,MANACAPURU,-3.2996768,-60.6213528
AM,MANAQUIRI,-3.4305885,-60.4593078
AM,MANAUS,-3.1316333,-59.9825041
AM,MANICORÉ,-5.804618,-61.289483
AM,MARAÃ,-1.8535579,-65.5897749
AM,MAUÉS,-3.3795798,-57.7196072
AM,NHAMUNDÁ,-2.1921521,-56.7111308
AM,NOVA OLINDA DO NORTE,-3.8926889,-59.0953046
AM,NOVO AIRÃO,-2.6260236,-60.9434406
AM,NOVO ARIPUANÃ,-5.125929,-60.373179
AM,PARINTINS,-2.6344567,-56.7319324
AM,PAUINI,-7.7122214,-66.9998441
AM,PRESIDENTE FIGUEIREDO,-2.0486359,-60.0236658
AM,RIO PRETO DA EVA,-2.6990647,-59.7012494
AM,SANTA ISABEL DO RIO NEGRO,-0.4160389,-65.0153096
AM,SANTO ANTÔNIO DO IÇÁ,-3.095443,-67.946279
AM,SILVES,-2.8372614,-58.2105199
AM,SÃO GABRIEL DA CACHOEIRA,-0.1249715,-67.0813855
AM,SÃO PAULO DE OLIVENÇA,-3.4650627,-68.9468462
AM,SÃO SEBASTIÃO DO UATUMÃ,-2.5719341,-57.8703616
AM,TABATINGA,-4.2327349,-69.9263372
AM,TAPAUÁ,-5.6232283,-63.1879157
AM,TEFÉ,-3.3485276,-64.7102278
AM,TONANTINS,-2.86261,-67.7735482
AM,UARINI,-2.9827061,-65.1578615
AM,URUCARÁ,-2.537073,-57.7590254
AM,URUCURITUBA,-3.1304332,-58.1549157
AP,AMAPÁ,2.0529997,-50.7930003
AP,CALÇOENE,2.4981757,-50.9539503
AP,CUTIAS,0.9708625,-50.8000608
AP,FERREIRA GOMES,0.8580838,-51.1814
AP,ITAUBAL,0.6027524,-50.6998737
AP,LARANJAL DO JARI,-0.8419994,-52.516
AP,MACAPÁ,0.0401529,-51.0569588
AP,MAZAGÃO,-0.1160565,-51.2861759
AP,OIAPOQUE,3.8432128,-51.8350798
AP,PEDRA BRANCA DO AMAPARI,0.7771833,-51.9523218
AP,PORTO GRANDE,0.7028371,-51.4041605
AP,PRACUÚBA,1.7429041,-50.7848832
AP,SANTANA,-0.0307068,-51.1789666
AP,SERRA DO NAVIO,1.637,-52.272340909090914
AP,TARTARUGALZINHO,1.5052391,-50.9123126
AP,VITÓRIA DO JARI,-0.9310733,-52.4241059
BA,ABARÉ,-8.7239913,-39.1139689
BA,ABAÍRA,-13.2503296,-41.6640342
BA,ACAJUTIBA,-11.6609659,-38.0186381
BA,ADUSTINA,-10.5358875,-38.114479
BA,AIQUARA,-14.126918,-39.8887574
BA,ALAGOINHAS,-12.133526,-38.420772
BA,ALCOBAÇA,-17.5215875,-39.1965474
BA,ALMADINA,-14.7025806,-39.6383321
BA,AMARGOSA,-13.0302189,-39.6040692
BA,AMÉLIA RODRIGUES,-12.4015388,-38.7516971
BA,AMÉRICA DOURADA,-11.4515262,-41.4357517
BA,ANAGÉ,-14.6134669,-41.1376308
BA,ANDARAÍ,-12.8059674,-41.3322919
BA,ANDORINHA,-10.3445708,-39.8334411
BA,ANGICAL,-12.005623,-44.7000236
BA,ANGUERA,-12.1509425,-39.2452469
BA,ANTAS,-10.4114649,-38.3308815
BA,ANTÔNIO CARDOSO,-12.4363122,-39.1200307
BA,ANTÔNIO GONÇALVES,-10.5715409,-40.2748824
BA,APORÁ,-11.6599747,-38.0794757
BA,APUAREMA,-13.8517897,-39.7457126
BA,ARACATU,-14.4274236,-41.4604105
BA,ARACI,-11.3356065,-38.9573261
BA,ARAMARI,-12.0907897,-38.4985065
BA,ARATACA,-15.2617424,-39.4122943
BA,ARATUÍPE,-13.077137,-39.0010786
BA,ARAÇÁS,-12.2139176,-38.2026159
BA,AURELINO LEAL,-14.3167137,-39.3256107
BA,BAIANÓPOLIS,-12.3067564,-44.5383591
BA,BAIXA GRANDE,-11.9630941,-40.1657537
BA,BANZAÊ,-10.5827616,-38.6122305
BA,BARRA,-11.0892702,-43.1420453
BA,BARRA DA ESTIVA,-13.6269662,-41.3278287
BA,BARRA DO CHOÇA,-14.8638173,-40.5761637
BA,BARRA DO MENDES,-11.8053298,-42.057037
BA,BARRA DO ROCHA,-14.2090974,-39.6004395
BA,BARREIRAS,-12.1440031,-44.9967406
BA,BARRO ALTO,-11.7618025,-41.9094904
BA,BARRO PRETO,-14.8068289,-39.4727588
BA,BARROCAS,-11.5338665,-39.0802106
BA,BELMONTE,-15.8630837,-38.8792845
BA,BELO CAMPO,-15.0338286,-41.2585109
BA,BIRITINGA,-11.6227908,-38.8066738
BA,BOA NOVA,-14.365907,-40.2063056
BA,BOA VISTA DO TUPIM,-12.6605988,-40.6083594
BA,BOM JESUS DA LAPA,-13.250571,-43.410754
BA,BOM JESUS DA SERRA,-14.37483,-40.5057687
BA,BONINAL,-12.7095183,-41.8299984
BA,BONITO,-11.9665473,-41.2649896
BA,BOQUIRA,-12.8184859,-42.7270883
BA,BOTUPORÃ,-13.3744752,-42.5198469
BA,BREJOLÂNDIA,-12.4843845,-43.9611861
BA,BREJÕES,-13.1033754,-39.7909837
BA,BROTAS DE MACAÚBAS,-12.0019007,-42.6257506
BA,BRUMADO,-14.2950215,-41.659239732941316
BA,BUERAREMA,-14.9571177,-39.3008035
BA,BURITIRAMA,-10.7148421,-43.6362327
BA,CAATIBA,-14.9782759,-40.4092325
BA,CABACEIRAS DO PARAGUAÇU,-12.5377868,-39.1901339
BA,CACHOEIRA,-12.5998256,-38.9665918
BA,CACULÉ,-14.4990734,-42.2233006
BA,CAEM,-11.0909658,-40.4322187
BA,CAETANOS,-14.3387456,-40.9085971
BA,CAETITÉ,-14.0691776,-42.4852428
BA,CAFARNAUM,-11.691399,-41.468823
BA,CAIRU,-13.4860505,-39.0455744
BA,CALDEIRÃO GRANDE,-11.0208483,-40.3041387
BA,CAMACÃ,-15.2495418,-40.2479322
BA,CAMAMU,-13.9438142,-39.1060917
BA,CAMAÇARI,-12.6998188,-38.3260762
BA,CAMPO ALEGRE DE LOURDES,-9.5160326,-43.0101338
BA,CAMPO FORMOSO,-10.51055,-40.320031
BA,CANARANA,-11.6870151,-41.7683675
BA,CANAVIEIRAS,-15.6790128,-38.9449622
BA,CANDEAL,-11.8053441,-39.1206515
BA,CANDEIAS,-12.6693806,-38.5406462
BA,CANDIBA,-14.4125032,-42.8714102
BA,CANSANÇÃO,-10.6671448,-39.498199
BA,CANUDOS,-9.8948692,-39.0266244
BA,CANÁPOLIS,-13.072454,-44.200949
BA,CAPELA DO ALTO ALEGRE,-11.6703944,-39.8362745
BA,CAPIM GROSSO,-11.3793228,-40.0112095
BA,CARAVELAS,-17.7296514,-39.2660082
BA,CARAÍBAS,-14.72496,-41.2566163
BA,CARDEAL DA SILVA,-11.9428154,-37.9494462
BA,CARINHANHA,-14.298524,-43.772349
BA,CASA NOVA,-9.1736775,-40.9734475
BA,CASTRO ALVES,-12.7616941,-39.4281088
BA,CATOLÂNDIA,-12.315088,-44.8616434
BA,CATU,-12.351274,-38.379108
BA,CATURAMA,-13.3309299,-42.2927623
BA,CENTRAL,-11.1338739,-42.1095822
BA,CHORROCHÓ,-8.9774059,-39.0993132
BA,CIPÓ,-11.0990534,-38.5153006
BA,COARACI,-14.6407979,-39.5496765
BA,COCOS,-14.1811222,-44.5382117
BA,CONCEIÇÃO DA FEIRA,-12.5013001,-39.0002166
BA,CONCEIÇÃO DO ALMEIDA,-12.7772763,-39.1692214
BA,CONCEIÇÃO DO COITÉ,-11.5629384,-39.2839543
BA,CONCEIÇÃO DO JACUÍPE,-12.326831,-38.768433
BA,CONDE,-11.8129758,-37.6138705
BA,CONDEÚBA,-14.902227,-41.971829
BA,CONTENDAS DO SINCORÁ,-13.7612283,-41.0421315
BA,CORAÇÃO DE MARIA,-12.2484345,-38.7499274
BA,CORDEIROS,-15.0397219,-41.9314228
BA,CORIBE,-13.828471,-44.45727
BA,CORONEL JOÃO SÁ,-10.2856387,-37.9259435
BA,CORRENTINA,-13.344157,-44.6345066
BA,COTEGIPE,-12.0315387,-44.260401
BA,CRAVOLÂNDIA,-13.3576247,-39.8153954
BA,CRISTÓPOLIS,-12.2349301,-44.4160811
BA,CRISÓPOLIS,-11.5105813,-38.1506278
BA,CRUZ DAS ALMAS,-12.6722649,-39.1053665
BA,CURAÇÁ,-8.9925655,-39.9053169
BA,CÂNDIDO SALES,-15.5037649,-41.2391141
BA,CÍCERO DANTAS,-10.5932265,-38.3834411
BA,DIAS D'ÁVILA,-12.6107233,-38.3028518
BA,DOM BASÍLIO,-13.7589818,-41.7715676
BA,DOM MACEDO COSTA,-12.907806,-39.1905875
BA,DÁRIO MEIRA,-14.4332181,-39.9028712
BA,ELÍSIO MEDRADO,-12.9469824,-39.520431
BA,ENCRUZILHADA,-15.5322113,-40.9072488
BA,ENTRE RIOS,-11.9423743,-38.0836985
BA,ESPLANADA,-11.800614,-37.9453
BA,EUCLIDES DA CUNHA,-10.5060835,-39.0129875
BA,EUNÁPOLIS,-16.3722412,-39.575704
BA,FEIRA DA MATA,-14.2117024,-44.2822314
BA,FEIRA DE SANTANA,-12.2578934,-38.9598047
BA,FILADÉLFIA,-10.7418885,-40.1304175
BA,FIRMINO ALVES,-14.9871017,-39.9242157
BA,FLORESTA AZUL,-14.8602238,-39.6561384
BA,FORMOSA DO RIO PRETO,-11.0414544,-45.1903983
BA,FÁTIMA,-10.5944103,-38.2118405
BA,GANDU,-13.7448138,-39.4844732
BA,GAVIÃO,-11.4714303,-39.7826316
BA,GENTIO DO OURO,-11.4302137,-42.5063185
BA,GLÓRIA,-9.3429057,-38.2552548
BA,GONGOGI,-14.3240248,-39.4665106
BA,GOVERNADOR MANGABEIRA,-12.6038648,-39.0372154
BA,GUAJERU,-14.5464079,-41.9379047
BA,GUANAMBI,-14.223066,-42.779943
BA,GUARATINGA,-16.5802498,-39.7808088
BA,HELIÓPOLIS,-10.6753416,-38.2815308
BA,IAÇU,-12.7672074,-40.2106427
BA,IBIASSUCÊ,-14.2713813,-42.2576112
BA,IBICARAÍ,-14.8625311,-39.5890865
BA,IBICOARA,-13.413079,-41.285121
BA,IBICUÍ,-14.84496,-39.987915
BA,IBIPEBA,-11.6425335,-42.0083068
BA,IBIPITANGA,-12.880435,-42.485568
BA,IBIQUERA,-12.6489164,-40.9323004
BA,IBIRAPITANGA,-14.1615686,-39.369522
BA,IBIRAPUÃ,-17.6873491,-40.109661
BA,IBIRATAIA,-14.0689024,-39.6394008
BA,IBITIARA,-12.6493766,-42.2172476
BA,IBITITÁ,-11.5461033,-41.9781838
BA,IBOTIRAMA,-12.1829519,-43.2181138
BA,ICHU,-11.7495556,-39.1905275
BA,IGAPORÃ,-13.7725318,-42.7168442
BA,IGRAPIÚNA,-13.8227115,-39.1419857
BA,IGUAÍ,-14.752754,-40.089417
BA,ILHÉUS,-14.792599,-39.0453843
BA,INHAMBUPE,-11.7921718,-38.3596957
BA,IPECAETÁ,-12.3158261,-39.306421
BA,IPIAÚ,-14.1318211,-39.7373177
BA,IPIRÁ,-12.1578337,-39.7416605
BA,IPUPIARA,-11.82207,-42.6111388
BA,IRAJUBA,-13.2525307,-40.0842042
