uf,cidade,candidato,votos_validos,votos_concorrentes,lat,lon
AC,EPITACIOLÂNDIA,VERA,2,9666,-11.0289439,-68.7411519
AC,EPITACIOLÂNDIA,LÉO PÉRICLES,1,9666,-11.0289439,-68.7411519
AC,EPITACIOLÂNDIA,CONSTITUINTE EYMAEL,0,9666,-11.0289439,-68.7411519
AC,FEIJÓ,LULA,7930,15220,-8.1648652,-70.3539579
AC,FEIJÓ,JAIR BOLSONARO,6191,15220,-8.1648652,-70.3539579
AC,FEIJÓ,SIMONE TEBET,635,15220,-8.1648652,-70.3539579
AC,FEIJÓ,CIRO GOMES,373,15220,-8.1648652,-70.3539579
AC,FEIJÓ,SORAYA THRONICKE,69,15220,-8.1648652,-70.3539579
AC,FEIJÓ,FELIPE D'AVILA,11,15220,-8.1648652,-70.3539579
AC,FEIJÓ,SOFIA MANZANO,6,15220,-8.1648652,-70.3539579
AC,FEIJÓ,PADRE KELMON,2,15220,-8.1648652,-70.3539579
AC,FEIJÓ,LÉO PÉRICLES,2,15220,-8.1648652,-70.3539579
AC,FEIJÓ,VERA,1,15220,-8.1648652,-70.3539579
AC,FEIJÓ,CONSTITUINTE EYMAEL,0,15220,-8.1648652,-70.3539579
AC,JORDÃO,LULA,2213,4018,-9.1911406,-71.9481397
AC,JORDÃO,JAIR BOLSONARO,1515,4018,-9.1911406,-71.9481397
AC,JORDÃO,SIMONE TEBET,157,4018,-9.1911406,-71.9481397
AC,JORDÃO,CIRO GOMES,120,4018,-9.1911406,-71.9481397
AC,JORDÃO,SORAYA THRONICKE,6,4018,-9.1911406,-71.9481397
AC,JORDÃO,FELIPE D'AVILA,2,4018,-9.1911406,-71.9481397
AC,JORDÃO,SOFIA MANZANO,2,4018,-9.1911406,-71.9481397
AC,JORDÃO,PADRE KELMON,2,4018,-9.1911406,-71.9481397
AC,JORDÃO,VERA,1,4018,-9.1911406,-71.9481397
AC,JORDÃO,LÉO PÉRICLES,0,4018,-9.1911406,-71.9481397
AC,JORDÃO,CONSTITUINTE EYMAEL,0,4018,-9.1911406,-71.9481397
AC,MANOEL URBANO,JAIR BOLSONARO,3141,5534,-8.838755,-69.2619465
AC,MANOEL URBANO,LULA,2095,5534,-8.838755,-69.2619465
