uf,cidade,candidato,votos_validos,votos_concorrentes,lat,lon
MG,CAMPANÁRIO,FELIPE D'AVILA,10,2159,-18.2398144,-41.7271768
MG,CAMPANÁRIO,SORAYA THRONICKE,3,2159,-18.2398144,-41.7271768
MG,CAMPANÁRIO,PADRE KELMON,2,2159,-18.2398144,-41.7271768
MG,CAMPANÁRIO,SOFIA MANZANO,2,2159,-18.2398144,-41.7271768
MG,CAMPANÁRIO,LÉO PÉRICLES,0,2159,-18.2398144,-41.7271768
MG,CAMPANÁRIO,VERA,0,2159,-18.2398144,-41.7271768
MG,CAMPANÁRIO,CONSTITUINTE EYMAEL,0,2159,-18.2398144,-41.7271768
MG,CAMPESTRE,JAIR BOLSONARO,6805,12509,-21.0029918,-43.7327528
MG,CAMPESTRE,LULA,4457,12509,-21.0029918,-43.7327528
MG,CAMPESTRE,SIMONE TEBET,680,12509,-21.0029918,-43.7327528
MG,CAMPESTRE,CIRO GOMES,316,12509,-21.0029918,-43.7327528
MG,CAMPESTRE,FELIPE D'AVILA,166,12509,-21.0029918,-43.7327528
MG,CAMPESTRE,SORAYA THRONICKE,63,12509,-21.0029918,-43.7327528
MG,CAMPESTRE,PADRE KELMON,9,12509,-21.0029918,-43.7327528
MG,CAMPESTRE,SOFIA MANZANO,4,12509,-21.0029918,-43.7327528
MG,CAMPESTRE,LÉO PÉRICLES,4,12509,-21.0029918,-43.7327528
MG,CAMPESTRE,CONSTITUINTE EYMAEL,3,12509,-21.0029918,-43.7327528
MG,CAMPESTRE,VERA,2,12509,-21.0029918,-43.7327528
MG,CAMPINA VERDE,JAIR BOLSONARO,5048,10612,-19.535277,-49.486389
MG,CAMPINA VERDE,LULA,5017,10612,-19.535277,-49.486389
MG,CAMPINA VERDE,SIMONE TEBET,331,10612,-19.535277,-49.486389
MG,CAMPINA VERDE,CIRO GOMES,141,10612,-19.535277,-49.486389
MG,CAMPINA VERDE,SORAYA THRONICKE,30,10612,-19.535277,-49.486389
MG,CAMPINA VERDE,FELIPE D'AVILA,28,10612,-19.535277,-49.486389
MG,CAMPINA VERDE,PADRE KELMON,13,10612,-19.535277,-49.486389
MG,CAMPINA VERDE,SOFIA MANZANO,2,10612,-19.535277,-49.486389
MG,CAMPINA VERDE,VERA,2,10612,-19.535277,-49.486389
MG,CAMPINA VERDE,LÉO PÉRICLES,0,10612,-19.535277,-49.486389
MG,CAMPINA VERDE,CONSTITUINTE EYMAEL,0,10612,-19.535277,-49.486389
MG,CAMPO AZUL,LULA,2135,2742,-16.5078525,-44.8133524
MG,CAMPO AZUL,JAIR BOLSONARO,488,2742,-16.5078525,-44.8133524
MG,CAMPO AZUL,CIRO GOMES,52,2742,-16.5078525,-44.8133524
MG,CAMPO AZUL,SIMONE TEBET,46,2742,-16.5078525,-44.8133524
MG,CAMPO AZUL,FELIPE D'AVILA,12,2742,-16.5078525,-44.8133524
MG,CAMPO AZUL,SORAYA THRONICKE,4,2742,-16.5078525,-44.8133524
MG,CAMPO AZUL,PADRE KELMON,3,2742,-16.5078525,-44.8133524
MG,CAMPO AZUL,CONSTITUINTE EYMAEL,1,2742,-16.5078525,-44.8133524
MG,CAMPO AZUL,LÉO PÉRICLES,1,2742,-16.5078525,-44.8133524
MG,CAMPO AZUL,VERA,0,2742,-16.5078525,-44.8133524
MG,CAMPO AZUL,SOFIA MANZANO,0,2742,-16.5078525,-44.8133524
MG,CAMPO BELO,JAIR BOLSONARO,14632,28466,-20.8975,-45.277223
MG,CAMPO BELO,LULA,11575,28466,-20.8975,-45.277223
MG,CAMPO BELO,SIMONE TEBET,1287,28466,-20.8975,-45.277223
MG,CAMPO BELO,CIRO GOMES,601,28466,-20.8975,-45.277223
MG,CAMPO BELO,FELIPE D'AVILA,238,28466,-20.8975,-45.277223
MG,CAMPO BELO,SORAYA THRONICKE,104,28466,-20.8975,-45.277223
MG,CAMPO BELO,PADRE KELMON,16,28466,-20.8975,-45.277223
MG,CAMPO BELO,SOFIA MANZANO,8,28466,-20.8975,-45.277223
MG,CAMPO BELO,VERA,2,28466,-20.8975,-45.277223
MG,CAMPO BELO,LÉO PÉRICLES,2,28466,-20.8975,-45.277223
MG,CAMPO BELO,CONSTITUINTE EYMAEL,1,28466,-20.8975,-45.277223
MG,CAMPO DO MEIO,LULA,4310,7365,-21.1072006,-45.8301735
MG,CAMPO DO MEIO,JAIR BOLSONARO,2643,7365,-21.1072006,-45.8301735
MG,CAMPO DO MEIO,SIMONE TEBET,167,7365,-21.1072006,-45.8301735
MG,CAMPO DO MEIO,CIRO GOMES,163,7365,-21.1072006,-45.8301735
MG,CAMPO DO MEIO,FELIPE D'AVILA,58,7365,-21.1072006,-45.8301735
MG,CAMPO DO MEIO,SORAYA THRONICKE,16,7365,-21.1072006,-45.8301735
MG,CAMPO DO MEIO,SOFIA MANZANO,4,7365,-21.1072006,-45.8301735
MG,CAMPO DO MEIO,PADRE KELMON,2,7365,-21.1072006,-45.8301735
MG,CAMPO DO MEIO,LÉO PÉRICLES,1,7365,-21.1072006,-45.8301735
MG,CAMPO DO MEIO,VERA,1,7365,-21.1072006,-45.8301735
MG,CAMPO DO MEIO,CONSTITUINTE EYMAEL,0,7365,-21.1072006,-45.8301735
MG,CAMPO FLORIDO,LULA,2647,4811,-19.760833,-48.572223
MG,CAMPO FLORIDO,JAIR BOLSONARO,1973,4811,-19.760833,-48.572223
MG,CAMPO FLORIDO,SIMONE TEBET,104,4811,-19.760833,-48.572223
MG,CAMPO FLORIDO,CIRO GOMES,57,4811,-19.760833,-48.572223
MG,CAMPO FLORIDO,FELIPE D'AVILA,15,4811,-19.760833,-48.572223
MG,CAMPO FLORIDO,SORAYA THRONICKE,6,4811,-19.760833,-48.572223
MG,CAMPO FLORIDO,SOFIA MANZANO,5,4811,-19.760833,-48.572223
MG,CAMPO FLORIDO,PADRE KELMON,2,4811,-19.760833,-48.572223
MG,CAMPO FLORIDO,LÉO PÉRICLES,1,4811,-19.760833,-48.572223
MG,CAMPO FLORIDO,VERA,1,4811,-19.760833,-48.572223
MG,CAMPO FLORIDO,CONSTITUINTE EYMAEL,0,4811,-19.760833,-48.572223
MG,CAMPOS ALTOS,JAIR BOLSONARO,3759,7029,-19.696389,-46.171389
MG,CAMPOS ALTOS,LULA,2818,7029,-19.696389,-46.171389
MG,CAMPOS ALTOS,SIMONE TEBET,224,7029,-19.696389,-46.171389
MG,CAMPOS ALTOS,CIRO GOMES,129,7029,-19.696389,-46.171389
MG,CAMPOS ALTOS,FELIPE D'AVILA,66,7029,-19.696389,-46.171389
MG,CAMPOS ALTOS,SORAYA THRONICKE,25,7029,-19.696389,-46.171389
MG,CAMPOS ALTOS,SOFIA MANZANO,3,7029,-19.696389,-46.171389
MG,CAMPOS ALTOS,VERA,2,7029,-19.696389,-46.171389
MG,CAMPOS ALTOS,CONSTITUINTE EYMAEL,1,7029,-19.696389,-46.171389
MG,CAMPOS ALTOS,LÉO PÉRICLES,1,7029,-19.696389,-46.171389
MG,CAMPOS ALTOS,PADRE KELMON,1,7029,-19.696389,-46.171389
MG,CAMPOS GERAIS,JAIR BOLSONARO,7413,14866,-21.2333342,-45.7584127
MG,CAMPOS GERAIS,LULA,6428,14866,-21.2333342,-45.7584127
MG,CAMPOS GERAIS,SIMONE TEBET,508,14866,-21.2333342,-45.7584127
MG,CAMPOS GERAIS,CIRO GOMES,258,14866,-21.2333342,-45.7584127
MG,CAMPOS GERAIS,FELIPE D'AVILA,160,14866,-21.2333342,-45.7584127
MG,CAMPOS GERAIS,SORAYA THRONICKE,74,14866,-21.2333342,-45.7584127
MG,CAMPOS GERAIS,PADRE KELMON,7,14866,-21.2333342,-45.7584127
MG,CAMPOS GERAIS,CONSTITUINTE EYMAEL,6,14866,-21.2333342,-45.7584127
MG,CAMPOS GERAIS,SOFIA MANZANO,6,14866,-21.2333342,-45.7584127
MG,CAMPOS GERAIS,VERA,4,14866,-21.2333342,-45.7584127
MG,CAMPOS GERAIS,LÉO PÉRICLES,2,14866,-21.2333342,-45.7584127
MG,CANA VERDE,LULA,1850,3713,-21.021308,-45.1817881
MG,CANA VERDE,JAIR BOLSONARO,1671,3713,-21.021308,-45.1817881
MG,CANA VERDE,SIMONE TEBET,105,3713,-21.021308,-45.1817881
MG,CANA VERDE,CIRO GOMES,54,3713,-21.021308,-45.1817881
MG,CANA VERDE,FELIPE D'AVILA,27,3713,-21.021308,-45.1817881
MG,CANA VERDE,SORAYA THRONICKE,6,3713,-21.021308,-45.1817881
MG,CANA VERDE,SOFIA MANZANO,0,3713,-21.021308,-45.1817881
MG,CANA VERDE,LÉO PÉRICLES,0,3713,-21.021308,-45.1817881
MG,CANA VERDE,CONSTITUINTE EYMAEL,0,3713,-21.021308,-45.1817881
MG,CANA VERDE,VERA,0,3713,-21.021308,-45.1817881
MG,CANA VERDE,PADRE KELMON,0,3713,-21.021308,-45.1817881
MG,CANAÃ,LULA,2416,3373,-20.685555,-42.62
MG,CANAÃ,JAIR BOLSONARO,709,3373,-20.685555,-42.62
MG,CANAÃ,SIMONE TEBET,122,3373,-20.685555,-42.62
MG,CANAÃ,CIRO GOMES,79,3373,-20.685555,-42.62
MG,CANAÃ,FELIPE D'AVILA,32,3373,-20.685555,-42.62
MG,CANAÃ,SORAYA THRONICKE,6,3373,-20.685555,-42.62
MG,CANAÃ,PADRE KELMON,5,3373,-20.685555,-42.62
MG,CANAÃ,SOFIA MANZANO,3,3373,-20.685555,-42.62
MG,CANAÃ,CONSTITUINTE EYMAEL,1,3373,-20.685555,-42.62
MG,CANAÃ,LÉO PÉRICLES,0,3373,-20.685555,-42.62
MG,CANAÃ,VERA,0,3373,-20.685555,-42.62
MG,CANDEIAS,LULA,4020,8480,-20.7676161,-45.2763777
MG,CANDEIAS,JAIR BOLSONARO,3888,8480,-20.7676161,-45.2763777
MG,CANDEIAS,SIMONE TEBET,322,8480,-20.7676161,-45.2763777
MG,CANDEIAS,CIRO GOMES,147,8480,-20.7676161,-45.2763777
MG,CANDEIAS,FELIPE D'AVILA,75,8480,-20.7676161,-45.2763777
MG,CANDEIAS,SORAYA THRONICKE,17,8480,-20.7676161,-45.2763777
MG,CANDEIAS,PADRE KELMON,8,8480,-20.7676161,-45.2763777
MG,CANDEIAS,LÉO PÉRICLES,1,8480,-20.7676161,-45.2763777
MG,CANDEIAS,CONSTITUINTE EYMAEL,1,8480,-20.7676161,-45.2763777
MG,CANDEIAS,SOFIA MANZANO,1,8480,-20.7676161,-45.2763777
MG,CANDEIAS,VERA,0,8480,-20.7676161,-45.2763777
MG,CANTAGALO,LULA,1741,2451,-20.4673592,-43.0356224
MG,CANTAGALO,JAIR BOLSONARO,563,2451,-20.4673592,-43.0356224
MG,CANTAGALO,SIMONE TEBET,87,2451,-20.4673592,-43.0356224
MG,CANTAGALO,CIRO GOMES,42,2451,-20.4673592,-43.0356224
MG,CANTAGALO,FELIPE D'AVILA,10,2451,-20.4673592,-43.0356224
MG,CANTAGALO,SORAYA THRONICKE,5,2451,-20.4673592,-43.0356224
MG,CANTAGALO,VERA,1,2451,-20.4673592,-43.0356224
MG,CANTAGALO,PADRE KELMON,1,2451,-20.4673592,-43.0356224
MG,CANTAGALO,SOFIA MANZANO,1,2451,-20.4673592,-43.0356224
MG,CANTAGALO,CONSTITUINTE EYMAEL,0,2451,-20.4673592,-43.0356224
MG,CANTAGALO,LÉO PÉRICLES,0,2451,-20.4673592,-43.0356224
MG,CANÁPOLIS,LULA,3921,6424,-18.7228793,-49.2016329
MG,CANÁPOLIS,JAIR BOLSONARO,2195,6424,-18.7228793,-49.2016329
MG,CANÁPOLIS,SIMONE TEBET,151,6424,-18.7228793,-49.2016329
MG,CANÁPOLIS,CIRO GOMES,112,6424,-18.7228793,-49.2016329
MG,CANÁPOLIS,FELIPE D'AVILA,29,6424,-18.7228793,-49.2016329
MG,CANÁPOLIS,SORAYA THRONICKE,9,6424,-18.7228793,-49.2016329
MG,CANÁPOLIS,PADRE KELMON,3,6424,-18.7228793,-49.2016329
MG,CANÁPOLIS,SOFIA MANZANO,2,6424,-18.7228793,-49.2016329
MG,CANÁPOLIS,CONSTITUINTE EYMAEL,1,6424,-18.7228793,-49.2016329
MG,CANÁPOLIS,VERA,1,6424,-18.7228793,-49.2016329
MG,CANÁPOLIS,LÉO PÉRICLES,0,6424,-18.7228793,-49.2016329
MG,CAPARAÓ,JAIR BOLSONARO,1775,3279,-20.5232726,-41.9049984
MG,CAPARAÓ,LULA,1320,3279,-20.5232726,-41.9049984
MG,CAPARAÓ,CIRO GOMES,82,3279,-20.5232726,-41.9049984
MG,CAPARAÓ,SIMONE TEBET,69,3279,-20.5232726,-41.9049984
MG,CAPARAÓ,FELIPE D'AVILA,29,3279,-20.5232726,-41.9049984
MG,CAPARAÓ,SORAYA THRONICKE,2,3279,-20.5232726,-41.9049984
MG,CAPARAÓ,PADRE KELMON,1,3279,-20.5232726,-41.9049984
MG,CAPARAÓ,SOFIA MANZANO,1,3279,-20.5232726,-41.9049984
MG,CAPARAÓ,VERA,0,3279,-20.5232726,-41.9049984
MG,CAPARAÓ,LÉO PÉRICLES,0,3279,-20.5232726,-41.9049984
MG,CAPARAÓ,CONSTITUINTE EYMAEL,0,3279,-20.5232726,-41.9049984
MG,CAPELA NOVA,LULA,2094,3369,-20.9236773,-43.6179487
MG,CAPELA NOVA,JAIR BOLSONARO,979,3369,-20.9236773,-43.6179487
MG,CAPELA NOVA,SIMONE TEBET,160,3369,-20.9236773,-43.6179487
MG,CAPELA NOVA,CIRO GOMES,69,3369,-20.9236773,-43.6179487
MG,CAPELA NOVA,FELIPE D'AVILA,50,3369,-20.9236773,-43.6179487
MG,CAPELA NOVA,SORAYA THRONICKE,12,3369,-20.9236773,-43.6179487
MG,CAPELA NOVA,PADRE KELMON,3,3369,-20.9236773,-43.6179487
MG,CAPELA NOVA,VERA,1,3369,-20.9236773,-43.6179487
MG,CAPELA NOVA,LÉO PÉRICLES,1,3369,-20.9236773,-43.6179487
MG,CAPELA NOVA,CONSTITUINTE EYMAEL,0,3369,-20.9236773,-43.6179487
MG,CAPELA NOVA,SOFIA MANZANO,0,3369,-20.9236773,-43.6179487
MG,CAPELINHA,LULA,11470,20382,-17.693889,-42.518611
MG,CAPELINHA,JAIR BOLSONARO,7616,20382,-17.693889,-42.518611
MG,CAPELINHA,SIMONE TEBET,562,20382,-17.693889,-42.518611
MG,CAPELINHA,CIRO GOMES,499,20382,-17.693889,-42.518611
MG,CAPELINHA,FELIPE D'AVILA,163,20382,-17.693889,-42.518611
MG,CAPELINHA,SORAYA THRONICKE,49,20382,-17.693889,-42.518611
MG,CAPELINHA,PADRE KELMON,9,20382,-17.693889,-42.518611
MG,CAPELINHA,SOFIA MANZANO,7,20382,-17.693889,-42.518611
MG,CAPELINHA,VERA,4,20382,-17.693889,-42.518611
MG,CAPELINHA,CONSTITUINTE EYMAEL,3,20382,-17.693889,-42.518611
MG,CAPELINHA,LÉO PÉRICLES,0,20382,-17.693889,-42.518611
MG,CAPETINGA,JAIR BOLSONARO,1853,3983,-20.6193382,-47.0577418
MG,CAPETINGA,LULA,1839,3983,-20.6193382,-47.0577418
MG,CAPETINGA,SIMONE TEBET,154,3983,-20.6193382,-47.0577418
MG,CAPETINGA,CIRO GOMES,88,3983,-20.6193382,-47.0577418
MG,CAPETINGA,FELIPE D'AVILA,31,3983,-20.6193382,-47.0577418
MG,CAPETINGA,SORAYA THRONICKE,12,3983,-20.6193382,-47.0577418
MG,CAPETINGA,PADRE KELMON,3,3983,-20.6193382,-47.0577418
MG,CAPETINGA,SOFIA MANZANO,2,3983,-20.6193382,-47.0577418
MG,CAPETINGA,LÉO PÉRICLES,1,3983,-20.6193382,-47.0577418
MG,CAPETINGA,CONSTITUINTE EYMAEL,0,3983,-20.6193382,-47.0577418
MG,CAPETINGA,VERA,0,3983,-20.6193382,-47.0577418
MG,CAPIM BRANCO,JAIR BOLSONARO,3083,6206,-16.3877865,-46.8970553
MG,CAPIM BRANCO,LULA,2589,6206,-16.3877865,-46.8970553
MG,CAPIM BRANCO,SIMONE TEBET,292,6206,-16.3877865,-46.8970553
MG,CAPIM BRANCO,CIRO GOMES,145,6206,-16.3877865,-46.8970553
MG,CAPIM BRANCO,FELIPE D'AVILA,55,6206,-16.3877865,-46.8970553
MG,CAPIM BRANCO,SORAYA THRONICKE,34,6206,-16.3877865,-46.8970553
MG,CAPIM BRANCO,PADRE KELMON,3,6206,-16.3877865,-46.8970553
MG,CAPIM BRANCO,LÉO PÉRICLES,3,6206,-16.3877865,-46.8970553
MG,CAPIM BRANCO,SOFIA MANZANO,1,6206,-16.3877865,-46.8970553
MG,CAPIM BRANCO,VERA,1,6206,-16.3877865,-46.8970553
MG,CAPIM BRANCO,CONSTITUINTE EYMAEL,0,6206,-16.3877865,-46.8970553
MG,CAPINÓPOLIS,LULA,4891,8615,-18.682778,-49.569723
MG,CAPINÓPOLIS,JAIR BOLSONARO,3314,8615,-18.682778,-49.569723
MG,CAPINÓPOLIS,SIMONE TEBET,213,8615,-18.682778,-49.569723
MG,CAPINÓPOLIS,CIRO GOMES,125,8615,-18.682778,-49.569723
MG,CAPINÓPOLIS,FELIPE D'AVILA,57,8615,-18.682778,-49.569723
MG,CAPINÓPOLIS,SORAYA THRONICKE,12,8615,-18.682778,-49.569723
MG,CAPINÓPOLIS,CONSTITUINTE EYMAEL,2,8615,-18.682778,-49.569723
MG,CAPINÓPOLIS,PADRE KELMON,1,8615,-18.682778,-49.569723
MG,CAPINÓPOLIS,SOFIA MANZANO,0,8615,-18.682778,-49.569723
MG,CAPINÓPOLIS,VERA,0,8615,-18.682778,-49.569723
MG,CAPINÓPOLIS,LÉO PÉRICLES,0,8615,-18.682778,-49.569723
MG,CAPITÃO ANDRADE,LULA,1264,2631,-19.0675,-41.859722
MG,CAPITÃO ANDRADE,JAIR BOLSONARO,1224,2631,-19.0675,-41.859722
MG,CAPITÃO ANDRADE,SIMONE TEBET,83,2631,-19.0675,-41.859722
MG,CAPITÃO ANDRADE,CIRO GOMES,29,2631,-19.0675,-41.859722
MG,CAPITÃO ANDRADE,FELIPE D'AVILA,27,2631,-19.0675,-41.859722
MG,CAPITÃO ANDRADE,SORAYA THRONICKE,3,2631,-19.0675,-41.859722
MG,CAPITÃO ANDRADE,PADRE KELMON,1,2631,-19.0675,-41.859722
MG,CAPITÃO ANDRADE,LÉO PÉRICLES,0,2631,-19.0675,-41.859722
MG,CAPITÃO ANDRADE,VERA,0,2631,-19.0675,-41.859722
MG,CAPITÃO ANDRADE,SOFIA MANZANO,0,2631,-19.0675,-41.859722
MG,CAPITÃO ANDRADE,CONSTITUINTE EYMAEL,0,2631,-19.0675,-41.859722
MG,CAPITÃO ENÉAS,LULA,6269,8950,-16.3236018,-43.7154584
MG,CAPITÃO ENÉAS,JAIR BOLSONARO,2256,8950,-16.3236018,-43.7154584
MG,CAPITÃO ENÉAS,SIMONE TEBET,201,8950,-16.3236018,-43.7154584
MG,CAPITÃO ENÉAS,CIRO GOMES,169,8950,-16.3236018,-43.7154584
MG,CAPITÃO ENÉAS,FELIPE D'AVILA,36,8950,-16.3236018,-43.7154584
MG,CAPITÃO ENÉAS,SORAYA THRONICKE,12,8950,-16.3236018,-43.7154584
MG,CAPITÃO ENÉAS,PADRE KELMON,3,8950,-16.3236018,-43.7154584
MG,CAPITÃO ENÉAS,VERA,1,8950,-16.3236018,-43.7154584
MG,CAPITÃO ENÉAS,SOFIA MANZANO,1,8950,-16.3236018,-43.7154584
MG,CAPITÃO ENÉAS,CONSTITUINTE EYMAEL,1,8950,-16.3236018,-43.7154584
MG,CAPITÃO ENÉAS,LÉO PÉRICLES,1,8950,-16.3236018,-43.7154584
MG,CAPITÓLIO,JAIR BOLSONARO,3171,5761,-20.6142437,-46.0487652
MG,CAPITÓLIO,LULA,2230,5761,-20.6142437,-46.0487652
MG,CAPITÓLIO,SIMONE TEBET,192,5761,-20.6142437,-46.0487652
MG,CAPITÓLIO,CIRO GOMES,103,5761,-20.6142437,-46.0487652
MG,CAPITÓLIO,FELIPE D'AVILA,51,5761,-20.6142437,-46.0487652
MG,CAPITÓLIO,SORAYA THRONICKE,10,5761,-20.6142437,-46.0487652
MG,CAPITÓLIO,PADRE KELMON,2,5761,-20.6142437,-46.0487652
MG,CAPITÓLIO,LÉO PÉRICLES,1,5761,-20.6142437,-46.0487652
MG,CAPITÓLIO,CONSTITUINTE EYMAEL,1,5761,-20.6142437,-46.0487652
MG,CAPITÓLIO,SOFIA MANZANO,0,5761,-20.6142437,-46.0487652
MG,CAPITÓLIO,VERA,0,5761,-20.6142437,-46.0487652
MG,CAPUTIRA,LULA,3541,5991,-20.171945,-42.270278
MG,CAPUTIRA,JAIR BOLSONARO,2138,5991,-20.171945,-42.270278
MG,CAPUTIRA,SIMONE TEBET,130,5991,-20.171945,-42.270278
MG,CAPUTIRA,CIRO GOMES,110,5991,-20.171945,-42.270278
MG,CAPUTIRA,FELIPE D'AVILA,45,5991,-20.171945,-42.270278
MG,CAPUTIRA,SORAYA THRONICKE,19,5991,-20.171945,-42.270278
MG,CAPUTIRA,VERA,4,5991,-20.171945,-42.270278
MG,CAPUTIRA,PADRE KELMON,3,5991,-20.171945,-42.270278
MG,CAPUTIRA,SOFIA MANZANO,1,5991,-20.171945,-42.270278
MG,CAPUTIRA,LÉO PÉRICLES,0,5991,-20.171945,-42.270278
MG,CAPUTIRA,CONSTITUINTE EYMAEL,0,5991,-20.171945,-42.270278
MG,CARANAÍBA,LULA,1396,2449,-20.8736914,-43.7379458
MG,CARANAÍBA,JAIR BOLSONARO,835,2449,-20.8736914,-43.7379458
MG,CARANAÍBA,SIMONE TEBET,93,2449,-20.8736914,-43.7379458
MG,CARANAÍBA,CIRO GOMES,69,2449,-20.8736914,-43.7379458
MG,CARANAÍBA,FELIPE D'AVILA,40,2449,-20.8736914,-43.7379458
MG,CARANAÍBA,SORAYA THRONICKE,12,2449,-20.8736914,-43.7379458
MG,CARANAÍBA,SOFIA MANZANO,3,2449,-20.8736914,-43.7379458
MG,CARANAÍBA,LÉO PÉRICLES,1,2449,-20.8736914,-43.7379458
MG,CARANAÍBA,PADRE KELMON,0,2449,-20.8736914,-43.7379458
MG,CARANAÍBA,CONSTITUINTE EYMAEL,0,2449,-20.8736914,-43.7379458
MG,CARANAÍBA,VERA,0,2449,-20.8736914,-43.7379458
MG,CARANDAÍ,LULA,8401,15862,-20.9523934,-43.8043903
MG,CARANDAÍ,JAIR BOLSONARO,6309,15862,-20.9523934,-43.8043903
MG,CARANDAÍ,SIMONE TEBET,566,15862,-20.9523934,-43.8043903
MG,CARANDAÍ,CIRO GOMES,396,15862,-20.9523934,-43.8043903
MG,CARANDAÍ,FELIPE D'AVILA,123,15862,-20.9523934,-43.8043903
MG,CARANDAÍ,SORAYA THRONICKE,36,15862,-20.9523934,-43.8043903
MG,CARANDAÍ,PADRE KELMON,11,15862,-20.9523934,-43.8043903
MG,CARANDAÍ,LÉO PÉRICLES,7,15862,-20.9523934,-43.8043903
MG,CARANDAÍ,CONSTITUINTE EYMAEL,6,15862,-20.9523934,-43.8043903
MG,CARANDAÍ,VERA,4,15862,-20.9523934,-43.8043903
MG,CARANDAÍ,SOFIA MANZANO,3,15862,-20.9523934,-43.8043903
MG,CARANGOLA,LULA,9422,18064,-20.733056,-42.029445
MG,CARANGOLA,JAIR BOLSONARO,7390,18064,-20.733056,-42.029445
MG,CARANGOLA,SIMONE TEBET,571,18064,-20.733056,-42.029445
MG,CARANGOLA,CIRO GOMES,449,18064,-20.733056,-42.029445
MG,CARANGOLA,FELIPE D'AVILA,151,18064,-20.733056,-42.029445
MG,CARANGOLA,SORAYA THRONICKE,52,18064,-20.733056,-42.029445
MG,CARANGOLA,PADRE KELMON,11,18064,-20.733056,-42.029445
MG,CARANGOLA,LÉO PÉRICLES,7,18064,-20.733056,-42.029445
MG,CARANGOLA,SOFIA MANZANO,5,18064,-20.733056,-42.029445
MG,CARANGOLA,CONSTITUINTE EYMAEL,3,18064,-20.733056,-42.029445
MG,CARANGOLA,VERA,3,18064,-20.733056,-42.029445
MG,CARATINGA,JAIR BOLSONARO,22135,45862,-19.7900887,-42.140533
MG,CARATINGA,LULA,20758,45862,-19.7900887,-42.140533
MG,CARATINGA,SIMONE TEBET,1467,45862,-19.7900887,-42.140533
MG,CARATINGA,CIRO GOMES,1003,45862,-19.7900887,-42.140533
MG,CARATINGA,FELIPE D'AVILA,313,45862,-19.7900887,-42.140533
MG,CARATINGA,SORAYA THRONICKE,125,45862,-19.7900887,-42.140533
MG,CARATINGA,PADRE KELMON,31,45862,-19.7900887,-42.140533
MG,CARATINGA,SOFIA MANZANO,12,45862,-19.7900887,-42.140533
MG,CARATINGA,LÉO PÉRICLES,10,45862,-19.7900887,-42.140533
MG,CARATINGA,VERA,4,45862,-19.7900887,-42.140533
MG,CARATINGA,CONSTITUINTE EYMAEL,4,45862,-19.7900887,-42.140533
MG,CARAÍ,LULA,6720,9040,-17.1884104,-41.6976554
MG,CARAÍ,JAIR BOLSONARO,1818,9040,-17.1884104,-41.6976554
MG,CARAÍ,SIMONE TEBET,225,9040,-17.1884104,-41.6976554
MG,CARAÍ,CIRO GOMES,204,9040,-17.1884104,-41.6976554
MG,CARAÍ,FELIPE D'AVILA,35,9040,-17.1884104,-41.6976554
MG,CARAÍ,SORAYA THRONICKE,18,9040,-17.1884104,-41.6976554
MG,CARAÍ,PADRE KELMON,8,9040,-17.1884104,-41.6976554
MG,CARAÍ,SOFIA MANZANO,7,9040,-17.1884104,-41.6976554
MG,CARAÍ,LÉO PÉRICLES,3,9040,-17.1884104,-41.6976554
MG,CARAÍ,VERA,1,9040,-17.1884104,-41.6976554
MG,CARAÍ,CONSTITUINTE EYMAEL,1,9040,-17.1884104,-41.6976554
MG,CARBONITA,LULA,3458,5398,-17.5308667,-43.0136207
MG,CARBONITA,JAIR BOLSONARO,1656,5398,-17.5308667,-43.0136207
MG,CARBONITA,CIRO GOMES,140,5398,-17.5308667,-43.0136207
MG,CARBONITA,SIMONE TEBET,99,5398,-17.5308667,-43.0136207
MG,CARBONITA,FELIPE D'AVILA,28,5398,-17.5308667,-43.0136207
MG,CARBONITA,SORAYA THRONICKE,10,5398,-17.5308667,-43.0136207
MG,CARBONITA,PADRE KELMON,3,5398,-17.5308667,-43.0136207
MG,CARBONITA,CONSTITUINTE EYMAEL,2,5398,-17.5308667,-43.0136207
MG,CARBONITA,SOFIA MANZANO,2,5398,-17.5308667,-43.0136207
MG,CARBONITA,VERA,0,5398,-17.5308667,-43.0136207
MG,CARBONITA,LÉO PÉRICLES,0,5398,-17.5308667,-43.0136207
MG,CAREAÇU,JAIR BOLSONARO,1869,3878,-22.0434124,-45.6995247
MG,CAREAÇU,LULA,1711,3878,-22.0434124,-45.6995247
MG,CAREAÇU,SIMONE TEBET,165,3878,-22.0434124,-45.6995247
MG,CAREAÇU,CIRO GOMES,78,3878,-22.0434124,-45.6995247
MG,CAREAÇU,FELIPE D'AVILA,33,3878,-22.0434124,-45.6995247
MG,CAREAÇU,SORAYA THRONICKE,16,3878,-22.0434124,-45.6995247
MG,CAREAÇU,LÉO PÉRICLES,2,3878,-22.0434124,-45.6995247
MG,CAREAÇU,SOFIA MANZANO,2,3878,-22.0434124,-45.6995247
MG,CAREAÇU,PADRE KELMON,1,3878,-22.0434124,-45.6995247
MG,CAREAÇU,VERA,1,3878,-22.0434124,-45.6995247
MG,CAREAÇU,CONSTITUINTE EYMAEL,0,3878,-22.0434124,-45.6995247
MG,CARLOS CHAGAS,LULA,6409,10666,-21.744351,-43.3908675
MG,CARLOS CHAGAS,JAIR BOLSONARO,3668,10666,-21.744351,-43.3908675
